mark_version,target,aihub_category,n,mean_prob_target,sd
mark4.1,heavy_impact,A.층간소음_2.경량충격음_d.골프퍼팅(골굴리는소리),10,0.521599,0.184305
mark4.1,heavy_impact,A.층간소음_5.애완동물_a.강아지짓는소리,3,0.426583,0.2509
mark4.1,heavy_impact,A.층간소음_2.경량충격음_b.문여닫는소리,6,0.405364,0.165349
mark4.1,heavy_impact,C.사업장_3.골프연습장_a.골프연습장의타구음,6,0.289547,0.090061
mark4.1,heavy_impact,B.공사장_1.건설장비_f.브레이커의암석파쇄소리,8,0.240456,0.190199
mark4.1,heavy_impact,A.층간소음_3.생활소음_f.식기세척기소리,3,0.223888,0.16802
mark4.1,heavy_impact,A.층간소음_2.경량충격음_c.런닝머신에서뛰는소리,4,0.217852,0.12603
mark4.1,heavy_impact,A.층간소음_3.생활소음_c.드럼세탁기소리,7,0.208021,0.15224
mark4.1,heavy_impact,A.층간소음_3.생활소음_b.샤워할때물소리,4,0.143411,0.034319
mark4.1,heavy_impact,A.층간소음_3.생활소음_d.통돌이세탁기소리,8,0.135852,0.026968
mark4.1,heavy_impact,A.층간소음_3.생활소음_a.화장실물내리는소리,5,0.127629,0.023358
mark4.1,heavy_impact,B.공사장_1.건설장비_a.항타기의파일박는소리,11,0.125157,0.042457
mark4.1,heavy_impact,A.층간소음_5.애완동물_b.고양이우는소리,10,0.11372,0.014598
mark4.1,heavy_impact,A.층간소음_2.경량충격음_a.가구끄는소리,7,0.11324,0.019465
mark4.1,heavy_impact,B.공사장_2.차량_d.백호우의굴착소리,3,0.112765,0.014784
mark4.1,heavy_impact,A.층간소음_3.생활소음_e.진공청소기소리,8,0.107097,0.011891
mark4.1,heavy_impact,A.층간소음_4.악기_a.바이올린연주소리,7,0.104729,0.001994
mark4.1,heavy_impact,B.공사장_2.차량_b.불도저의엔진소리,6,0.104295,0.010364
mark4.1,heavy_impact,B.공사장_1.건설장비_d.굴착기의땅파는소리,5,0.10218,0.006563
mark4.1,heavy_impact,B.공사장_2.차량_a.덤프트럭의엔진소리,6,0.101824,0.016752
mark4.1,heavy_impact,C.사업장_1.상가건물_a.옥외설치확성기의소음,8,0.100934,0.016089
mark4.1,heavy_impact,A.층간소음_4.악기_b.피아노연주소리,7,0.100878,0.003285
mark4.1,heavy_impact,C.사업장_2.학원시설_b.학원소리(예체능),8,0.100108,0.002785
mark4.1,heavy_impact,B.공사장_2.차량_e.레미콘의콘크리트섞는소리,7,0.099656,0.008553
mark4.1,heavy_impact,B.공사장_1.건설장비_e.공기압축기의공기압축소리,4,0.098944,0.002967
mark4.1,heavy_impact,B.공사장_2.차량_c.페이로다의굴착소리,4,0.098614,0.000953
mark4.1,heavy_impact,B.공사장_1.건설장비_c.착암기의발파구멍뚫는소리,6,0.098301,0.002085
mark4.1,heavy_impact,B.공사장_1.건설장비_g.발전기의가동소리,6,0.097376,0.006399
mark4.1,heavy_impact,D.교통소음_1.자동차_a.심야에자동차가빠르게주행하는소리,6,0.096162,0.007135
mark4.1,heavy_impact,D.교통소음_3.이륜차_a.심야에이륜차가빠르게주행하는소리,8,0.095363,0.003987
mark4.1,heavy_impact,D.교통소음_2.트럭_a.심야에배송트럭이빠르게주행하는소리,6,0.095141,0.002054
mark4.1,heavy_impact,D.교통소음_4.기타_a.심야에울리는횡단보도신호기소리,4,0.094907,0.001446
mark4.1,heavy_impact,C.사업장_1.상가건물_b.에어컨실외기의가동소리,4,0.094883,0.002712
mark4.1,heavy_impact,C.사업장_2.학원시설_a.등하원아이들떠드는소리,8,0.09404,0.004372
mark4.3,construction,C.사업장_1.상가건물_b.에어컨실외기의가동소리,5,0.41053,0.298881
mark4.3,construction,D.교통소음_3.이륜차_a.심야에이륜차가빠르게주행하는소리,9,0.31173,0.234325
mark4.3,construction,A.층간소음_3.생활소음_c.드럼세탁기소리,7,0.294024,0.274992
mark4.3,construction,A.층간소음_3.생활소음_e.진공청소기소리,8,0.280147,0.266971
mark4.3,construction,D.교통소음_2.트럭_a.심야에배송트럭이빠르게주행하는소리,10,0.26935,0.197801
