split,role,wav,activity,sess,idx,node
test,others,CR_lounge_200110_1711.s300_chunk1.16kHz.wav,cop,200110_1711,1,refined
test,others,CR_lounge_200110_1711.s300_chunk2.16kHz.wav,cp,200110_1711,2,raw
test,others,CR_lounge_200110_1711.s300_chunk3.16kHz.wav,cp,200110_1711,3,raw
test,others,CR_lounge_200110_1711.s600_chunk4.16kHz.wav,f,200110_1711,4,raw
test,others,CR_lounge_200110_1711.s300_chunk4.16kHz.wav,p,200110_1711,4,raw
test,others,CR_lounge_200110_1711.s300_chunk5.16kHz.wav,cp,200110_1711,5,refined
test,others,CR_lounge_200110_1711.s300_chunk6.16kHz.wav,cop,200110_1711,6,raw
test,others,CR_lounge_200110_1711.s300_chunk7.16kHz.wav,cp,200110_1711,7,raw
test,others,CR_lounge_200110_1711.s300_chunk8.16kHz.wav,cop,200110_1711,8,refined
test,others,CR_lounge_200110_1711.s300_chunk9.16kHz.wav,co,200110_1711,9,raw
test,others,CR_lounge_200110_1711.s300_chunk10.16kHz.wav,cp,200110_1711,10,raw
test,others,CR_lounge_200110_1711.s300_chunk11.16kHz.wav,cp,200110_1711,11,raw
test,others,CR_lounge_200110_1711.s300_chunk12.16kHz.wav,cp,200110_1711,12,raw
test,others,CR_lounge_200110_1711.s300_chunk13.16kHz.wav,cop,200110_1711,13,refined
test,others,CR_lounge_200110_1711.s300_chunk14.16kHz.wav,c,200110_1711,14,refined
test,others,CR_lounge_200110_1711.s300_chunk15.16kHz.wav,cp,200110_1711,15,raw
test,others,CR_lounge_200110_1711.s300_chunk16.16kHz.wav,cp,200110_1711,16,refined
test,others,CR_lounge_200110_1711.s300_chunk17.16kHz.wav,c,200110_1711,17,raw
test,others,CR_lounge_200110_1711.s300_chunk18.16kHz.wav,cp,200110_1711,18,raw
test,others,CR_lounge_200110_1711.s300_chunk19.16kHz.wav,cp,200110_1711,19,refined
test,others,CR_lounge_200110_1711.s300_chunk20.16kHz.wav,c,200110_1711,20,raw
test,others,CR_lounge_200110_1711.s300_chunk21.16kHz.wav,c,200110_1711,21,raw
test,others,CR_lounge_200110_1711.s300_chunk22.16kHz.wav,c,200110_1711,22,refined
test,others,CR_lounge_200110_1711.s300_chunk23.16kHz.wav,c,200110_1711,23,raw
test,others,CR_lounge_200110_1711.s300_chunk24.16kHz.wav,c,200110_1711,24,raw
test,others,CR_lounge_200110_1711.s300_chunk25.16kHz.wav,c,200110_1711,25,raw
test,others,CR_lounge_200110_1711.s0_chunk25.16kHz.wav,c,200110_1711,25,raw
test,others,CR_lounge_200110_1711.s0_chunk26.16kHz.wav,cp,200110_1711,26,refined
test,others,CR_lounge_200110_1711.s300_chunk26.16kHz.wav,c,200110_1711,26,raw
test,others,CR_lounge_200110_1711.s300_chunk27.16kHz.wav,c,200110_1711,27,raw
test,others,CR_lounge_200110_1711.s0_chunk28.16kHz.wav,cp,200110_1711,28,refined
test,others,CR_lounge_200110_1711.s300_chunk28.16kHz.wav,c,200110_1711,28,raw
test,others,CR_lounge_200110_1711.s900_chunk28.16kHz.wav,p,200110_1711,28,raw
test,others,CR_lounge_200110_1711.s900_chunk29.16kHz.wav,p,200110_1711,29,refined
test,others,CR_lounge_200110_1711.s300_chunk29.16kHz.wav,c,200110_1711,29,raw
test,others,CR_lounge_200110_1711.s300_chunk30.16kHz.wav,c,200110_1711,30,raw
test,others,CR_lounge_200110_1711.s300_chunk31.16kHz.wav,c,200110_1711,31,raw
test,others,CR_lounge_200110_1711.s300_chunk32.16kHz.wav,c,200110_1711,32,raw
test,others,CR_lounge_200110_1711.s0_chunk32.16kHz.wav,c,200110_1711,32,raw
test,others,CR_lounge_200110_1711.s300_chunk33.16kHz.wav,c,200110_1711,33,raw
test,others,CR_lounge_200110_1711.s0_chunk33.16kHz.wav,bc,200110_1711,33,raw
test,others,CR_lounge_200110_1711.s300_chunk34.16kHz.wav,c,200110_1711,34,refined
test,others,CR_lounge_200110_1711.s0_chunk34.16kHz.wav,cp,200110_1711,34,raw
test,others,CR_lounge_200110_1711.s300_chunk35.16kHz.wav,c,200110_1711,35,refined
test,others,CR_lounge_200110_1711.s0_chunk35.16kHz.wav,cp,200110_1711,35,raw
test,others,CR_lounge_200110_1711.s300_chunk36.16kHz.wav,c,200110_1711,36,raw
test,others,CR_lounge_200110_1711.s0_chunk36.16kHz.wav,bc,200110_1711,36,raw
test,others,CR_lounge_200110_1711.s300_chunk37.16kHz.wav,c,200110_1711,37,refined
test,others,CR_lounge_200110_1711.s0_chunk37.16kHz.wav,bc,200110_1711,37,raw
