split,role,wav,activity,sess,idx,node
train,target,DevNode1_ex227_1.wav,watching_tv,227,1,1
train,target,DevNode2_ex227_6.wav,watching_tv,227,6,2
train,target,DevNode3_ex227_11.wav,watching_tv,227,11,3
train,target,DevNode4_ex227_16.wav,watching_tv,227,16,4
train,target,DevNode1_ex227_21.wav,watching_tv,227,21,1
train,target,DevNode2_ex227_26.wav,watching_tv,227,26,2
train,target,DevNode3_ex227_31.wav,watching_tv,227,31,3
train,target,DevNode4_ex227_36.wav,watching_tv,227,36,4
train,target,DevNode1_ex227_41.wav,watching_tv,227,41,1
train,target,DevNode2_ex227_47.wav,watching_tv,227,47,2
train,target,DevNode3_ex227_52.wav,watching_tv,227,52,3
train,target,DevNode4_ex227_57.wav,watching_tv,227,57,4
train,target,DevNode1_ex227_62.wav,watching_tv,227,62,1
train,target,DevNode2_ex227_67.wav,watching_tv,227,67,2
train,target,DevNode3_ex227_72.wav,watching_tv,227,72,3
train,target,DevNode4_ex227_77.wav,watching_tv,227,77,4
train,target,DevNode1_ex227_82.wav,watching_tv,227,82,1
train,target,DevNode2_ex227_88.wav,watching_tv,227,88,2
train,target,DevNode3_ex227_93.wav,watching_tv,227,93,3
train,target,DevNode4_ex227_98.wav,watching_tv,227,98,4
train,target,DevNode1_ex227_103.wav,watching_tv,227,103,1
train,target,DevNode2_ex227_108.wav,watching_tv,227,108,2
train,target,DevNode3_ex227_113.wav,watching_tv,227,113,3
train,target,DevNode4_ex227_118.wav,watching_tv,227,118,4
train,target,DevNode1_ex227_123.wav,watching_tv,227,123,1
train,target,DevNode2_ex227_129.wav,watching_tv,227,129,2
train,target,DevNode3_ex227_134.wav,watching_tv,227,134,3
train,target,DevNode4_ex227_139.wav,watching_tv,227,139,4
train,target,DevNode1_ex227_144.wav,watching_tv,227,144,1
train,target,DevNode2_ex227_149.wav,watching_tv,227,149,2
train,target,DevNode3_ex227_154.wav,watching_tv,227,154,3
train,target,DevNode4_ex227_159.wav,watching_tv,227,159,4
train,target,DevNode1_ex227_164.wav,watching_tv,227,164,1
train,target,DevNode2_ex227_170.wav,watching_tv,227,170,2
train,target,DevNode3_ex227_175.wav,watching_tv,227,175,3
train,target,DevNode4_ex227_180.wav,watching_tv,227,180,4
train,target,DevNode1_ex227_185.wav,watching_tv,227,185,1
train,target,DevNode2_ex227_190.wav,watching_tv,227,190,2
train,target,DevNode3_ex227_195.wav,watching_tv,227,195,3
train,target,DevNode4_ex227_200.wav,watching_tv,227,200,4
train,target,DevNode1_ex227_205.wav,watching_tv,227,205,1
train,target,DevNode2_ex227_211.wav,watching_tv,227,211,2
train,target,DevNode3_ex227_216.wav,watching_tv,227,216,3
train,target,DevNode4_ex227_221.wav,watching_tv,227,221,4
train,target,DevNode1_ex227_226.wav,watching_tv,227,226,1
train,target,DevNode2_ex227_231.wav,watching_tv,227,231,2
train,target,DevNode3_ex227_236.wav,watching_tv,227,236,3
train,target,DevNode4_ex227_241.wav,watching_tv,227,241,4
train,target,DevNode1_ex227_246.wav,watching_tv,227,246,1
train,target,DevNode2_ex227_252.wav,watching_tv,227,252,2
train,target,DevNode3_ex227_257.wav,watching_tv,227,257,3
